ADRIT     	ADRARA SAN MARTINO
CDBIT     	CAVENAGO DI BRIANZA
CENIT     	CENTRO
CERIT     	CEREA
CSNIT     	CERNUSCO SUL NAVIGLIO
CHIIT     	CHIAMPO
CHDIT     	CHIUDUNO
CLFIT     	COLLEFERRO
COLIT     	COLOGNO MONZESE
CMNIT     	COMENDUNO
ITCIY     	COMISO
COOIT     	COMO
CONIT     	CONCOREZZO
CORIT     	CORBETTA
COMIT     	CORMANO
CRRIT     	CORREGGIO
CRSIT     	CORSICO
CRTIT     	CORTENUOVA
COSIT     	COSEANO
COTIT     	COTIGNOLA
CRDIT     	CREDARO
CREIT     	CRESPELLANO
CRVIT     	CREVALCORE
ITCRV     	CROTONE
CUNIT     	CUNEO
ITCUF     	CUNEO
ITDCI     	DECIMOMANNU
DREIT     	DRESANO
ITEBA     	ELBA ISLAND
FAEIT     	FAENZA
FAUIT     	FAUGLIA
FERIT     	FERENTINO
FRRIT     	FERRARA
FIUIT     	FIUMICINO
FIZIT     	FIZZONASCO
ITFLR     	FLORENCE
ITFOG     	FOGGIA
FOLIT     	FOLIGNO
ITFRL     	FORLI
FROIT     	FROSINONE
FUBIT     	FUBINE
FURIT     	FURBINE
GALIT     	GALLESE
GARIT     	GARBAGNATE MILANESE
GVTIT     	GARDONE VAL TROMPIA
GENIT     	GENOA
ITGOA     	GENOVA
GEVIT     	GEVA
GORIT     	GORIZIA
GOZIT     	GOZZANO
ITGRS     	GROSSETO
GRUIT     	GRUGLIASCO
GDMIT     	GRUMELLO DEL MONTE
ITLIN     	HERMOSILLO
ITMXP     	HERMOSILLO
ITPMO     	HERMOSILLO
ITSWK     	HERMOSILLO
ITXIK     	HERMOSILLO
ITISH     	ISCHIA
IZAIT     	IZANO
JESIT     	JESI
ITJLO     	JESOLO
JLOIT     	JLO
ITNAP     	JUAREZ
ITPRJ     	JUAREZ
LASIT     	LA SPEZIA
LINIT     	LAINATE
LAIIT     	LAIVES
LALIT     	LALLIO
ITSUF     	LAMEZIA-TERME
ITLMP     	LAMPEDUSA
LATIT     	LATINA
ITLCC     	LECCE
LECIT     	LECCO
LEIIT     	LEINI
LENIT     	LENDINARA
LMAIT     	LIMANA
LIMIT     	LIMENA
ITZIP     	LIPARI
LIVIT     	LIVORNO
LOMIT     	LOMBARDY
LONIT     	LONATE POZZOLO
LORIT     	LORENZANA
LUCIT     	LUCCA
LUSIT     	LUSERNA SAN GIOVANNI
MACIT     	MACELLO
MAGIT     	MAGNAGO
ITMIL     	MAILAND
MAIIT     	MAIOLATI SPONTINI
MALIT     	MALGRATE 
MANIT     	MANDELLO DAL LARIO
MZNIT     	MANZANO
MAPIT     	MAPPANO
MARIT     	MARANELLO
ITQMM     	MARINA DI MASSA
ITZMR     	MERAN
ITZIE     	MEXICALI
MEZIT     	MEZZOVICO
MILIT     	MILAN
MIRIT     	MIRANDOLA
MODIT     	MODENA
MOUIT     	MODUGNO
MONIT     	MONCALIERI
MOSIT     	MONSANO
MOVIT     	MONTEBELLO VICENTINO
MTIIT     	MONTEVARCHI
MNTIT     	MONTICELLI DONGINA
MTNIT     	MONTONE
MZAIT     	MONZA
MUGIT     	MUGGIO
ITRRO     	NAPLES
ITZMF     	NAPLES
ITZMJ     	NAPLES
NAPIT     	NAPLES
NEMIT     	NEMBRO
NIBIT     	NIBBIANO
NONIT     	NONANTOLA
ODZIT     	ODERZO
ITOLB     	OLBIA
ORBIT     	ORBASSANO
PADIT     	PADUA
PALIT     	PALOSCO
ITZJE     	PANAREA
PANIT     	PANDINO
ITPNL     	PANTELLERIA
PAOIT     	PAOLANTONIO
ITPMF     	PARMA
PAVIT     	PAVULLO NEL FRIGNANO
PATIT     	PAVULLP NEL FRIGNANO
PERIT     	PERIGNANO
PEOIT     	PERO
ITPEG     	PERUGIA
ITPSR     	PESCARA
ITPEJ     	PESCHIEI
PIEIT     	PIERO
PINIT     	PINEROLO
ITPSA     	PISA
PISIT     	PISA
POGIT     	POGNANO
POIIT     	POIRINO
POMIT     	POMIGLIANO DARCO
ITZJY     	PONZA
PMEIT     	PREGNANA MILANESE
ITZJJ     	PROCIDA
QUAIT     	QUATTRO
RANIT     	RANTIGNY
ITRAN     	RAVENNA
RAVIT     	RAVENNA
RECIT     	RECANATI
ITREG     	REGGIO CALABRIA
RESIT     	RESCALDINA
RHOIT     	RHO
ITRMI     	RIMINI
ITCIA     	ROME
ITFCO     	ROME
ITXRJ     	ROME
ITXVY     	ROME
ROMIT     	ROME
RONIT     	RONCADELLE
RIPIT     	ROVEREDO IN PIANO
ROVIT     	ROVERETO
SALIT     	SALERNO
ITZIQ     	SALINA
SLZIT     	SALZANO
ITTQR     	SAN DOMINO ISLAND
SFCIT     	SAN FELICE CIRCEO
SFPIT     	SAN FELICE SUL PANARO
GBNIT     	SAN GIOVANNI ROTOND
ITGBN     	SAN GIOVANNI ROTOND
SAGIT     	SAN GIULIANO
SLVIT     	SAN SALVO
SVEIT     	SAN VENDEMIANO
SAVIT     	SAN VENDERMIANO
SANIT     	SANDIGLIANO
STAIT     	SANT ANTONIO
SVTIT     	SANTEGIDIO ALLA VIBRATA
SATIT     	SANTENA
SEGIT     	SEGRATE
SERIT     	SERRAMAZZONI 
SSEIT     	SERRAVALLE SESIA
SESIT     	SESTO CALENDE
SURIT     	SESTO ULTERIANO
SETIT     	SETTIMO TORINESE
SEVIT     	SEVESO
ITSAY     	SIENA
SOAIT     	SOAVE
SOMIT     	SOMMA LOMBARDO
STEIT     	STEZZANO
ITZJX     	STROMBOLI
SUIIT     	SUISIO
ITTFC     	TAORMINA
ITTAR     	TARANTO
TARIT     	TARANTO
TMOIT     	TERAMO
THIIT     	THIENE
ITNSY     	TOKAT
TRNIT     	TORINESE
TORIT     	TORINO
TAAIT     	TORRE ANNUNZIATA
ITTTB     	TORTOLI
ITTPS     	TRAPANI
TRAIT     	TRAVAGLIATO
TREIT     	TREGNAGO
ITTSF     	TREVISO
ITTRS     	TRIESTE
TRIIT     	TRIGOLO
TRSIT     	TRISSINO
TROIT     	TRONZANO VERCELLESE 
TURIT     	TURIN
ITUDN     	UDINE
VADIT     	VALDUGGIA
VALIT     	VALMADRERA
VAPIT     	VALPERGA
VARIT     	VARESE
VASIT     	VASTO
ITVCE     	VENICE
ITXVQ     	VENICE
VENIT     	VENICE
VRAIT     	VERANO BRIANZA
VEEIT     	VERCELI
VECIT     	VERCELLESE
ITVRN     	VERONA
ITXIX     	VERONA
VERIT     	VERONA
VIAIT     	VIADANICA
VICIT     	VICENZA
VLVIT     	VILLALVERNIA
VDAIT     	VILLANOVA D ASTI
VLBIT     	VILLARBASSE
VILIT     	VILLASTELLONE
VITIT     	VITERBO
VOLIT     	VOLPIANO
YELIT     	YAZAKI ITALIA
ZOPIT     	ZOPPOLA
